0.004	0.006	0.004	0.006	0.004	0.007	0.005	0.012	0.032	0.070	0.115	0.144	0.154	0.141	0.113	0.087	0.065	0.047	0.033	0.026	0.018	0.015	0.011	0.005	0.004	0.006	0.002	0.001	0.003	0.000
0.002	0.005	0.003	0.003	0.003	0.004	0.004	0.009	0.023	0.043	0.064	0.077	0.079	0.071	0.058	0.045	0.033	0.024	0.018	0.013	0.009	0.008	0.006	0.005	0.004	0.002	0.003	-0.000	0.001	-0.000
0.001	0.003	0.003	0.000	0.006	0.001	0.003	0.004	0.005	0.016	0.034	0.051	0.062	0.068	0.059	0.048	0.040	0.027	0.020	0.017	0.010	0.009	0.007	0.008	0.004	0.002	0.002	0.000	0.002	0.000
0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.000
0.004	0.005	0.005	0.005	0.004	0.004	0.005	0.013	0.030	0.073	0.116	0.144	0.153	0.141	0.114	0.088	0.064	0.046	0.032	0.025	0.016	0.015	0.012	0.007	0.004	0.006	0.002	-0.001	0.002	-0.001
0.002	0.003	0.004	0.002	0.003	0.002	0.003	0.010	0.023	0.044	0.064	0.077	0.078	0.072	0.058	0.044	0.033	0.025	0.018	0.014	0.009	0.008	0.006	0.005	0.004	0.003	0.003	0.001	0.000	0.001
0.000	0.003	0.002	0.000	0.007	0.001	0.003	0.004	0.007	0.015	0.036	0.049	0.063	0.067	0.059	0.047	0.039	0.028	0.020	0.018	0.009	0.009	0.007	0.007	0.005	0.003	0.003	0.001	0.001	0.001
-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000
0.005	0.004	0.003	0.006	0.005	0.003	0.006	0.013	0.032	0.070	0.116	0.143	0.152	0.139	0.112	0.086	0.065	0.044	0.034	0.025	0.017	0.013	0.012	0.007	0.006	0.006	0.002	0.001	0.002	-0.001
0.002	0.002	0.002	0.003	0.004	0.004	0.004	0.010	0.022	0.042	0.064	0.076	0.079	0.070	0.058	0.044	0.032	0.025	0.019	0.015	0.011	0.009	0.007	0.005	0.004	0.002	0.002	0.001	0.000	0.001
0.001	0.004	0.002	0.001	0.006	0.002	0.003	0.004	0.005	0.016	0.034	0.052	0.063	0.068	0.061	0.050	0.039	0.028	0.019	0.017	0.009	0.009	0.007	0.007	0.005	0.002	0.004	0.001	0.002	0.001
