0.005	0.005	0.003	0.004	0.004	0.005	0.006	0.012	0.033	0.071	0.115	0.140	0.149	0.132	0.107	0.083	0.059	0.044	0.030	0.024	0.017	0.013	0.012	0.004	0.007	0.006	0.002	-0.001	-0.000	-0.001
0.002	0.002	0.003	0.003	0.003	0.004	0.004	0.010	0.022	0.042	0.061	0.074	0.075	0.067	0.054	0.040	0.032	0.023	0.017	0.013	0.010	0.007	0.007	0.005	0.003	0.003	0.002	0.002	0.000	0.001
0.001	0.004	0.001	0.001	0.005	0.001	0.003	0.005	0.006	0.016	0.035	0.049	0.060	0.064	0.055	0.047	0.036	0.025	0.019	0.015	0.009	0.007	0.005	0.006	0.004	0.004	0.003	0.000	0.001	0.000
-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	0.000	-0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000
0.005	0.004	0.004	0.006	0.005	0.005	0.006	0.011	0.031	0.069	0.113	0.138	0.145	0.131	0.105	0.079	0.057	0.041	0.029	0.022	0.013	0.012	0.012	0.006	0.003	0.006	0.002	0.000	0.002	-0.000
0.002	0.003	0.003	0.002	0.004	0.003	0.004	0.009	0.023	0.042	0.061	0.073	0.073	0.066	0.052	0.041	0.031	0.022	0.016	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.002	0.000	0.001
0.000	0.004	0.001	0.001	0.005	0.001	0.002	0.004	0.006	0.016	0.034	0.048	0.061	0.064	0.055	0.047	0.036	0.027	0.018	0.016	0.009	0.009	0.005	0.007	0.004	0.004	0.003	0.001	-0.000	0.001
-0.000	-0.000	-0.000	0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	0.000	-0.000	0.000	-0.000	0.000	-0.000
0.006	0.007	0.005	0.005	0.004	0.004	0.005	0.011	0.031	0.069	0.109	0.135	0.141	0.128	0.100	0.079	0.056	0.038	0.029	0.022	0.014	0.012	0.010	0.006	0.004	0.004	0.001	0.002	0.001	-0.000
0.002	0.004	0.004	0.002	0.003	0.003	0.003	0.010	0.022	0.041	0.060	0.072	0.070	0.064	0.051	0.039	0.029	0.021	0.016	0.013	0.008	0.008	0.005	0.004	0.004	0.002	0.000	0.002	0.000	0.002
